VisPeri-ContA	VisPeri-ContB	VisPeri-ContC	VisPeri-DefaultA	VisPeri-DefaultB	VisPeri-DefaultC	VisPeri-DorsAttnA	VisPeri-DorsAttnB	VisPeri-LimbicA	VisPeri-LimbicB	VisPeri-SalVentAttnA	VisPeri-SalVentAttnB	VisPeri-SomMotA	VisPeri-SomMotB	VisPeri-TempPar	VisPeri-VisCent
0.337377	0.077677	0.243147	2.374104	3.370915	4.253519	5.353333	2.267252	2.172149	7.361806	5.959491	1.336857	12.100445	0.026011	0.734973	18.817166
5.614133	1.065323	0.717033	0.352899	2.352016	3.492391	8.075707	24.298616	11.176516	5.202785	9.687933	1.886826	32.102858	2.555045	2.249954	5.132642
0.398787	15.553112	4.018866	0.886675	3.695642	1.40092	3.009232	3.726395	5.190813	0.271505	7.147424	2.394012	2.128621	0.982586	6.42385	6.411639
0.182163	5.488803	1.496432	4.721453	2.315606	6.778787	0.802101	2.803653	0.33036	2.508729	7.310745	4.277038	8.511197	12.882272	12.813076	17.294739
1.014798	0.353805	6.266827	5.149627	2.302491	0.384471	0.595184	1.072222	1.418861	1.65741	1.565429	2.468397	15.759568	0.352002	1.278446	0.690331
5.355135	10.092924	5.333544	7.435411	9.175653	1.489578	3.428559	1.966451	6.141807	4.170728	1.283828	1.478812	4.158543	0.329866	2.251869	6.934883
2.255578	6.040654	5.952441	2.606378	0.93019	7.815841	0.670104	0.67373	1.553249	2.417464	0.226497	0.981389	0.553932	1.458166	0.006454	8.743489
4.737228	5.424221	0.422527	0.889678	2.888447	19.520353	0.055091	4.184472	5.004931	1.480264	11.147313	6.535995	24.098713	7.36362	9.959261	11.932396
4.048352	8.816917	0.936156	0.819122	0.185365	0.00561	1.599585	7.005332	6.590851	10.834167	0.42482	3.503658	6.546755	0.304438	1.152459	5.229576
0.495071	2.078468	4.053854	2.898275	0.592885	0.784333	1.953141	1.586507	0.307223	0.980455	0.880898	5.53325	8.817919	1.3547	1.441092	0.811534
2.960087	5.39444	3.982529	0.919577	0.565736	0.074419	2.022681	3.6848	4.074086	3.883332	0.725945	1.212415	5.059212	3.016678	1.77717	10.328804
1.599577	2.592341	2.49735	2.032619	4.669529	2.642134	0.578784	3.065421	0.032983	0.983301	2.46756	1.38513	7.455133	0.436254	6.815447	2.36544
