ContC-ContA	ContC-ContB	ContC-DefaultA	ContC-DefaultB	ContC-DefaultC	ContC-DorsAttnA	ContC-DorsAttnB	ContC-LimbicA	ContC-LimbicB	ContC-SalVentAttnA	ContC-SalVentAttnB	ContC-SomMotA	ContC-SomMotB	ContC-TempPar	ContC-VisCent	ContC-VisPeri
15.545688	26.212393	4.855569	14.899261	20.32738	3.877754	3.46936	19.421651	12.427433	1.069444	3.970195	30.941793	5.192531	2.841906	1.145021	15.417821
0.563456	1.405741	0.600242	1.521845	0.202086	0.019481	1.488081	2.574199	6.807831	1.355534	2.849382	0.213843	1.08701	2.692097	1.04334	0.013545
0.893219	3.644126	4.744943	3.822159	4.260467	1.603856	1.728881	0.066067	0.113305	4.515644	0.158861	0.961492	5.688015	2.648813	0.509833	1.845851
0.161087	2.126743	8.539142	0.615538	0.265056	2.419505	2.181989	0.79096	14.271245	0.770505	0.833952	0.367156	0.618911	0.698163	1.32656	1.101304
5.862569	16.505756	18.420977	17.164094	1.832432	0.787411	15.668647	11.473904	30.002099	16.500917	19.151888	2.090957	2.75413	3.304351	20.373957	5.531402
14.514817	6.104739	8.525182	2.09759	0.847239	2.686465	5.795547	7.543447	7.12869	1.97401	3.927435	0.772584	1.962742	0.018077	0.089612	3.580484
3.205208	3.393522	13.297764	8.673493	1.630317	1.152882	1.15943	6.774084	16.299497	3.164229	2.694418	1.870152	3.227678	0.576708	0.486902	0.881017
2.30714	9.902349	8.930434	1.835371	7.757131	2.584413	0.172403	2.367911	4.656079	0.527246	0.516234	2.202884	1.550938	0.125848	0.52983	2.784313
0.383393	4.680826	3.297703	5.364068	0.896049	0.776417	1.174414	0.068556	0.916049	0.097831	0.659027	0.168022	0.850098	2.151635	1.508948	0.146522
2.280502	1.988033	14.928688	1.710451	1.013892	0.397878	2.052303	8.280661	7.893845	1.783388	10.573741	5.250991	0.878953	1.148539	0.102984	4.44641
2.91764	0.554359	10.853941	8.422049	3.924806	0.795039	0.742237	1.378968	5.980385	2.339612	0.574983	0.089221	0.803075	0.81468	1.301433	0.285237
1.105888	0.141216	3.091103	0.474112	0.294135	2.03746	0.365401	0.159107	1.021503	7.042799	0.314144	3.588856	0.124007	1.407505	0.849898	4.137498
0.1224	1.065843	12.427736	2.890712	1.823094	1.158495	0.920796	0.08695	3.932887	2.105301	2.593184	0.516479	2.187976	7.549277	2.265114	1.155473
1.158593	1.651899	5.471385	1.619639	1.783624	0.932565	0.756798	8.720581	5.263525	1.771324	1.610823	1.069874	3.581637	2.212331	4.619755	0.373409
6.785539	1.861215	41.604308	15.073678	2.711607	19.855313	0.919289	18.096793	24.310068	0.803525	11.937328	2.878898	1.819348	4.377286	6.05063	4.267835
6.58025	1.25703	8.746226	9.470924	0.194708	9.586919	1.562455	25.1507	22.246704	5.585708	2.242057	3.148655	3.746117	1.706556	0.669962	5.767879
0.064466	0.024658	6.492322	0.61652	0.881706	0.32991	0.895682	0.630985	1.887062	1.073453	1.162208	3.650017	0.768998	0.301098	0.174547	0.655139
2.704576	3.924849	33.648731	17.770449	0.613054	2.148426	3.42713	8.130962	13.366163	0.724517	4.038709	3.323619	16.694226	2.667507	7.850316	1.869409
0.178115	4.242102	3.240459	1.684702	1.19746	0.027261	0.071629	4.465675	9.252899	0.081123	0.990193	2.294929	1.547404	0.676443	3.062721	1.808194
4.07827	6.85448	15.782694	4.44942	2.142884	0.573471	6.996875	4.958816	5.621021	0.413872	0.853822	2.892188	4.515579	0.104515	0.98417	4.881062
1.201311	0.856342	0.17915	0.219279	3.009908	2.592389	1.129298	1.875941	1.964924	2.953726	4.421613	0.054226	1.182127	1.230432	0.511949	1.344832
0.28648	0.557978	1.486938	0.710473	1.200349	3.0026	1.812037	0.942634	0.823838	0.044098	0.912733	6.372368	0.745841	0.398074	1.49082	1.464906
0.418253	0.537394	0.040311	0.300653	0.692914	2.381464	0.03438	0.947534	4.228835	0.312301	0.758003	1.088259	0.040299	1.454321	1.798682	1.053689
0.5181	0.075436	2.992621	3.008467	0.696977	1.107797	0.606889	1.908184	3.428988	2.053237	1.921741	2.257938	1.916993	0.424822	2.026653	1.037831
2.399115	0.125209	20.628478	4.63369	1.735985	3.389033	0.230138	2.04308	10.377412	3.726548	2.863685	2.232999	1.837188	1.273649	0.003239	0.178299
